,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
152,600346.SH,600346,1,恒力石化,16.89,化石能源,大连市,0.15,0.43,8.976,4.74,70.39,70.39,1188.9,16.89,-0.41
153,600332.SH,600332,1,白云山,25.75,医药生物,广州市,0.08,1.548,23.23,6.77,16.26,14.06,362.02,25.75,-0.16
154,600309.SH,600309,1,万华化学,67.74,基础化工,烟台市,0.53,1.95,31.7715,6.24,31.3,31.3,2120.58,67.74,-0.07
155,600276.SH,600276,1,恒瑞医药,69.1,医药生物,连云港市,1.28,0.7,8.8087,9.42,66.37,63.79,4407.89,69.1,0.13
156,600233.SH,600233,1,圆通速递,19.59,交通运输,大连市,0.13,0.5311,9.3633,5.62,34.2,34.2,670.02,19.59,6.41
157,600219.SH,600219,1,南山铝业,3.98,有色金属,烟台市,0.12,0.23,4.4527,5.13,116.14,116.14,462.22,3.98,-1.0
158,600196.SH,600196,1,复星医药,32.03,医药生物,上海市,0.17,0.64,17.7491,3.58,26.7,21.18,678.55,32.03,1.62
159,600188.SH,600188,1,兖矿能源,13.39,化石能源,济宁市,0.1,0.4634,5.9452,5.57,100.37,59.24,793.21,13.39,1.9
160,600183.SH,600183,1,生益科技,53.76,电子设备,东莞市,0.27,0.59,6.2498,9.35,24.29,23.95,1287.28,53.76,1.17
161,600176.SH,600176,1,中国巨石,15.36,基础化工,嘉兴市,0.16,0.4214,7.6861,5.49,40.03,40.03,614.88,15.36,-1.35
162,600161.SH,600161,1,天坛生物,19.51,医药生物,北京市,0.1,0.32,5.853,5.54,19.77,19.77,385.79,19.51,-1.12
163,600160.SH,600160,1,巨化股份,36.8,基础化工,衢州市,0.21,0.76,7.1257,10.86,27.0,27.0,993.51,36.8,-1.31
164,600150.SH,600150,1,中国船舶,38.51,国防与装备,上海市,0.71,0.659,11.7941,5.63,44.72,44.72,1722.33,38.51,1.29
165,600115.SH,600115,1,中国东航,3.98,交通运输,上海市,0.14,-0.06,0.5897,-9.94,222.91,171.15,681.16,3.98,-1.24
166,600111.SH,600111,1,北方稀土,52.26,有色金属,包头市,0.56,0.2576,6.4356,4.06,36.15,36.15,1889.23,52.26,-2.48
167,600104.SH,600104,1,上汽集团,18.76,交运设备,上海市,0.36,0.525,25.5108,2.06,114.95,114.95,2156.51,18.76,1.13
168,600089.SH,600089,1,特变电工,14.86,电气设备,昌吉回族自治州,0.31,0.6342,13.1185,4.83,50.53,50.53,750.84,14.86,0.2
169,600085.SH,600085,1,同仁堂,35.03,医药生物,北京市,0.1,0.689,9.7935,6.99,13.71,13.71,480.43,35.03,-0.43
170,600066.SH,600066,1,宇通客车,28.57,交运设备,郑州市,0.16,0.87,5.9496,13.79,22.14,22.14,632.52,28.57,-1.14
171,600061.SH,600061,1,国投资本,7.69,金融,上海市,0.08,0.26,8.2238,3.22,63.94,63.94,491.7,7.69,-0.65
172,600050.SH,600050,1,中国联通,5.58,信息技术,北京市,0.37,0.203,5.4223,3.73,312.64,307.67,1716.79,5.58,-1.76
173,600048.SH,600048,1,保利发展,7.96,房地产,广州市,0.24,0.23,16.1825,1.36,119.7,119.7,952.85,7.96,1.14
174,600039.SH,600039,1,四川路桥,8.65,建筑,成都市,0.09,0.32,5.4661,5.63,86.96,67.16,580.9,8.65,-0.12
175,600036.SH,600036,1,招商银行,42.22,金融,深圳市,2.19,2.89,42.1,6.93,252.2,206.29,8709.54,42.22,-0.75
176,600031.SH,600031,1,三一重工,20.66,机械设备,北京市,0.52,0.6175,8.6709,6.99,84.74,84.74,1750.81,20.66,-2.18
177,600030.SH,600030,1,中信证券,29.59,金融,深圳市,1.21,0.89,18.3307,4.91,148.21,121.77,3603.04,29.59,-0.64
178,600029.SH,600029,1,南方航空,6.03,交通运输,广州市,0.14,-0.08,1.8319,-4.51,181.21,126.73,764.2,6.03,-0.5
179,600028.SH,600028,1,中国石化,5.52,化石能源,北京市,0.34,0.177,6.8246,2.61,1211.78,948.42,5235.27,5.52,-0.18
180,600027.SH,600027,1,华电国际,5.39,公用事业,济南市,0.09,0.33,4.0962,7.67,116.12,85.1,458.71,5.39,-0.74
181,600026.SH,600026,1,中远海能,12.52,交通运输,上海市,0.07,0.3919,7.6916,5.08,47.71,34.75,435.04,12.52,3.56
182,600025.SH,600025,1,华能水电,9.3,公用事业,昆明市,0.07,0.25,3.3343,7.22,180.0,180.0,1674.0,9.3,-1.06
183,600023.SH,600023,1,浙能电力,5.11,公用事业,杭州市,0.09,0.26,5.4994,4.69,134.09,134.09,685.19,5.11,-0.39
184,600019.SH,600019,1,宝钢股份,7.01,钢铁,上海市,0.26,0.23,9.2994,2.42,217.82,217.82,1526.92,7.01,-0.28
185,600018.SH,600018,1,上港集团,5.59,交通运输,上海市,0.06,0.3459,5.8677,5.88,232.81,232.15,1297.69,5.59,0.18
186,600016.SH,600016,1,民生银行,4.33,金融,北京市,0.45,0.45,12.87,3.57,437.82,354.62,1535.51,4.33,-1.14
187,600015.SH,600015,1,华夏银行,7.11,金融,北京市,0.19,0.66,19.21,3.42,159.15,153.87,1094.03,7.11,-0.84
188,600011.SH,600011,1,华能国际,7.65,公用事业,保定市,0.14,0.5,3.9481,12.71,156.98,109.98,841.32,7.65,-1.42
189,600010.SH,600010,1,包钢股份,2.51,钢铁,包头市,0.24,0.0033,1.1492,0.29,452.89,313.81,787.66,2.51,-0.4
190,600009.SH,600009,1,上海机场,32.08,交通运输,上海市,0.17,0.42,16.8661,2.48,24.88,19.19,615.52,32.08,0.0
191,600000.SH,600000,1,浦发银行,13.43,金融,上海市,0.66,0.99,22.57,4.33,304.97,304.97,4095.75,13.43,-1.25
192,302132.SZ,302132,1,中航成飞,81.61,国防与装备,汉中市,0.1,0.3416,6.9743,4.72,26.72,5.86,478.29,81.61,-1.6
193,301269.SZ,301269,1,华大九天,117.69,信息技术,北京市,0.11,0.0057,9.2677,0.06,5.43,5.43,638.99,117.69,-0.01
194,301236.SZ,301236,1,软通动力,55.91,信息技术,北京市,0.13,-0.15,10.6394,-1.37,9.53,6.8,380.34,55.91,1.3
195,300999.SZ,300999,1,金龙鱼,33.52,农林牧渔,上海市,0.08,0.32,17.5248,1.86,54.22,5.43,181.9,33.52,1.12
196,300979.SZ,300979,1,华利集团,53.75,纺织服装,中山市,0.03,1.43,13.8426,9.44,11.67,11.67,627.26,53.75,-0.41
197,300896.SZ,300896,1,爱美客,194.07,医药生物,北京市,0.12,2.62,24.6409,10.1,3.03,2.09,404.81,194.07,-0.43
198,300832.SZ,300832,1,新产业,68.6,医药生物,深圳市,0.11,0.9814,10.5776,8.77,7.86,6.82,467.85,68.6,0.35
