,f1,f2,f3,f12,f13,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
63,2,1285.45,-0.04,BK1031,90,光伏设备,-884327680.0,-1081990144.0,-1.67,197662464.0,0.31,82982912.0,0.13,770684928.0,1.19,1757921981,-1.37,阿特斯,688472,1
64,2,53364.73,-0.72,BK0477,90,酿酒行业,-944273104.0,-517398064.0,-3.51,-426875040.0,-2.89,364205056.0,2.47,580068128.0,3.93,1757921981,-6.4,舍得酒业,600702,1
65,2,1875.45,-1.74,BK0732,90,贵金属,-1073693904.0,-872435152.0,-6.29,-201258752.0,-1.45,186957792.0,1.35,886736096.0,6.39,1757921981,-7.74,西部黄金,601069,1
66,2,17770.13,-0.07,BK0428,90,电力行业,-1150674944.0,-731794944.0,-2.31,-418880000.0,-1.32,-4210944.0,-0.01,1154886144.0,3.64,1757921981,-3.63,天富能源,600509,1
67,2,11174.06,-0.06,BK0486,90,文化传媒,-1179128896.0,-610702400.0,-1.49,-568426496.0,-1.39,130274304.0,0.32,1044850944.0,2.55,1757921981,-2.88,捷成股份,300182,0
68,2,1394.58,-1.07,BK0474,90,保险,-1187513056.0,-912730608.0,-13.13,-274782448.0,-3.95,312596048.0,4.5,874917024.0,12.58,1757921981,-17.08,*ST天茂,000627,0
69,2,1214.52,-0.4,BK0736,90,通信服务,-1232822720.0,-717960336.0,-4.59,-514862384.0,-3.29,104235520.0,0.67,1128587072.0,7.21,1757921981,-7.88,线上线下,300959,0
70,2,1580.89,-0.87,BK0735,90,计算机设备,-1492582144.0,-1177907200.0,-3.37,-314674944.0,-0.9,297137152.0,0.85,1193052416.0,3.41,1757921981,-4.27,中科曙光,603019,1
71,2,51925.99,-1.2,BK0480,90,航天航空,-1591343728.0,-952262352.0,-6.61,-639081376.0,-4.44,196834560.0,1.37,1376215200.0,9.55,1757921981,-11.04,ST炼石,000697,0
72,2,1939.27,-0.08,BK1037,90,消费电子,-1668280064.0,-1290337280.0,-1.57,-377942784.0,-0.46,72904960.0,0.09,1597163008.0,1.94,1757921981,-2.03,歌尔股份,002241,0
73,2,3407.03,-0.14,BK0910,90,专用设备,-1670133760.0,-613993216.0,-0.88,-1056140544.0,-1.51,31034624.0,0.04,1552841216.0,2.22,1757921981,-2.39,南风股份,300004,0
74,2,2665.92,1.09,BK1030,90,电机,-1692854624.0,-2045733472.0,-7.26,352878848.0,1.25,1071400960.0,3.8,737729280.0,2.62,1757921981,-6.0,方正电机,002196,0
75,2,14831.05,0.49,BK0451,90,房地产开发,-1834452992.0,-1259095552.0,-3.81,-575357440.0,-1.74,508857344.0,1.54,1325595648.0,4.01,1757921981,-5.55,卧龙新能,600173,1
76,2,22295.46,-1.02,BK0478,90,有色金属,-3077289984.0,-2606756608.0,-5.08,-470533376.0,-0.92,1137122048.0,2.21,1933246976.0,3.76,1757921981,-5.99,怡球资源,601388,1
77,2,162599.71,-0.38,BK0473,90,证券,-3124974336.0,-2111269888.0,-5.95,-1013704448.0,-2.86,1287157760.0,3.63,1837817088.0,5.18,1757921981,-8.8,广发证券,000776,0
78,2,1448.28,0.53,BK1033,90,电池,-3330738944.0,-2006638592.0,-1.62,-1324100352.0,-1.07,-162695424.0,-0.13,3591023104.0,2.89,1757921981,-2.68,宁德时代,300750,0
79,2,4137.51,-0.91,BK0475,90,银行,-3357891328.0,-2982767360.0,-9.03,-375123968.0,-1.14,1462257408.0,4.42,1895633920.0,5.74,1757921981,-10.16,杭州银行,600926,1
80,2,1313.14,-0.85,BK0737,90,软件开发,-3437658368.0,-1993630976.0,-2.46,-1444027392.0,-1.78,725139200.0,0.89,2685609984.0,3.31,1757921981,-4.24,同花顺,300033,0
81,2,31889.7,-0.39,BK0447,90,互联网服务,-3500204288.0,-819539200.0,-0.81,-2680665088.0,-2.65,220896768.0,0.22,3278642688.0,3.24,1757921981,-3.46,数据港,603881,1
82,2,34261.9,-0.82,BK0459,90,电子元件,-3634923776.0,-2999843072.0,-2.65,-635080704.0,-0.56,693623808.0,0.61,2897384448.0,2.56,1757921981,-3.21,东山精密,002384,0
83,2,3095.67,-1.52,BK1027,90,小金属,-3987698688.0,-2781351424.0,-6.6,-1206347264.0,-2.86,1702670592.0,4.04,2272684288.0,5.4,1757921981,-9.47,铂科新材,300811,0
84,2,1829.54,0.32,BK1036,90,半导体,-4451340288.0,-3188670976.0,-1.55,-1262669312.0,-0.62,2057544448.0,1.0,2395951104.0,1.17,1757921981,-2.17,上海贝岭,600171,1
85,2,18302.55,-0.71,BK0448,90,通信设备,-6688556032.0,-5089656064.0,-5.07,-1598899968.0,-1.59,2465583616.0,2.46,4192996352.0,4.18,1757921981,-6.67,创维数字,000810,0
